Age,Gender,District,Region,Location Type,Customer Type,Employment Status,Income Level,Education Level,Tenure,Balance,Credit Score,Outstanding Loans,Num Of Products,Mobile Banking Usage,Number of Transactions per Month,Num Of Complaints,Proximity to Nearest Branch or ATM (km),Mobile Network Quality,Owns Mobile Phone
28,Female,Zomba,Southern,Rural,Retail,Self Employed,832591,Secondary,14,676487,489,12790,3,No,0,10,37.7,Fair,Yes
16,Female,Thyolo,Southern,Rural,Retail,Self Employed,1339360,Tertiary,26,362286,533,48290,6,No,0,8,22.4,Poor,No
21,Female,Thyolo,Southern,Rural,SME,Not Employed,57149,Tertiary,27,136239,535,28308,3,No,1,7,22.9,Fair,Yes
18,Male,Chikwawa,Southern,Rural,Retail,Not Employed,21217,Secondary,5,865861,495,28057,4,No,0,4,25.9,Poor,Yes
28,Male,Nkhata Bay,Northern,Rural,Retail,Employed,361864,Secondary,17,4791,391,88501,3,No,0,7,27.7,Poor,No
22,Female,Machinga,Southern,Rural,Retail,Employed,129854,Primary,18,924452,325,34839,1,No,2,10,37.2,Fair,No
27,Female,Karonga,Northern,Rural,Retail,Self Employed,19269,Primary,16,586066,500,160069,3,No,2,8,47.4,Good,No
16,Female,Dedza,Central,Rural,SME,Not Employed,57463,Primary,1,267097,314,26573,4,No,1,2,42.8,Fair,No
21,Male,Chikwawa,Southern,Rural,Retail,Not Employed,73672,Primary,24,72460,485,1913547,6,No,2,6,28.4,Poor,Yes
27,Female,Chiradzulu,Southern,Rural,Retail,Not Employed,35278,Tertiary,21,3061910,352,98809,6,No,0,6,26.3,Poor,No
27,Male,Mchinji,Central,Rural,Retail,Employed,20262,Primary,7,451916,516,278531,6,No,2,7,21.4,Good,Yes
22,Male,Ntchisi,Central,Rural,Retail,Employed,2102864,Tertiary,29,991558,336,70807,1,No,0,5,48.6,Fair,Yes
23,Male,Ntchisi,Central,Rural,Retail,Not Employed,65680,Primary,1,991243,385,1631293,5,No,1,7,35.1,Poor,No
26,Female,Kasungu,Central,Rural,Retail,Not Employed,69651,Primary,4,340026,497,1357379,6,No,2,8,22.8,Poor,Yes
21,Male,Mchinji,Central,Rural,Retail,Not Employed,30186,Secondary,20,151548,547,510629,1,No,0,7,22.8,Poor,Yes
18,Female,Ntchisi,Central,Rural,SME,Employed,28220,Primary,14,223932,307,54520,2,No,1,3,48.1,Fair,Yes
24,Female,Chitipa,Northern,Rural,Retail,Employed,44379,Primary,28,556991,504,1507220,5,No,1,8,37.0,Poor,No
22,Female,Nkhotakota,Central,Rural,Retail,Not Employed,49864,Secondary,9,759786,539,1788395,2,No,2,7,39.8,Poor,No
24,Male,Machinga,Southern,Rural,Retail,Not Employed,45799,Secondary,10,787796,304,1342731,7,No,2,8,40.6,Fair,No
28,Male,Mchinji,Central,Rural,Retail,Employed,66126,Primary,21,427258,562,661399,7,No,0,7,30.5,Poor,Yes
28,Male,Thyolo,Southern,Rural,Retail,Self Employed,215393,Primary,16,57971,327,14160,1,No,0,1,23.7,Poor,No
17,Male,Zomba,Southern,Rural,Retail,Employed,40511,Primary,27,474264,457,1192308,1,No,1,8,33.5,Poor,Yes
19,Male,Machinga,Southern,Rural,Retail,Employed,183472,Primary,23,182476,528,5322,5,No,0,6,13.4,Poor,No
21,Male,Chikwawa,Southern,Rural,Retail,Self Employed,93859,Primary,3,116871,413,1821543,7,No,2,8,23.9,Poor,No
29,Male,Neno,Southern,Rural,Retail,Employed,1601130,Tertiary,5,956613,414,27428,2,No,2,4,20.8,Poor,No
26,Female,Mangochi,Southern,Rural,SME,Not Employed,77520,Primary,4,963845,479,46410,3,No,1,6,11.0,Poor,No
21,Male,Mulanje,Southern,Rural,SME,Not Employed,89695,Primary,3,532934,592,43649,4,No,1,4,40.1,Poor,Yes
72,Male,Zomba,Southern,Rural,Retail,Employed,11783,Primary,3,810611,458,63304,3,No,0,9,22.5,Poor,No
20,Female,Mulanje,Southern,Rural,Retail,Employed,85885,Primary,26,478800,361,1884643,4,No,1,9,38.7,Poor,Yes
48,Male,Chiradzulu,Southern,Rural,Retail,Not Employed,10798,Primary,20,988091,560,59386,1,No,2,6,38.2,Poor,Yes
20,Male,Mzimba,Northern,Rural,Retail,Not Employed,94303,Secondary,28,97478,566,87284,4,No,3,10,31.3,Fair,Yes
26,Female,Nkhata Bay,Northern,Rural,Retail,Not Employed,64774,Primary,5,1633710,549,66337,4,No,2,9,25.2,Good,Yes
18,Male,Dedza,Central,Rural,Retail,Not Employed,30278,Primary,5,96680,374,1367130,1,No,2,6,46.8,Poor,Yes
16,Male,Kasungu,Central,Rural,Retail,Not Employed,37904,Primary,4,640910,468,1383519,5,No,0,9,20.3,Poor,No
21,Male,Blantyre,Southern,Rural,Retail,Employed,282076,Primary,24,547846,356,79300,6,No,1,4,33.2,Poor,No
74,Female,Nsanje,Southern,Rural,Retail,Not Employed,55064,Primary,2,836378,590,74426,5,No,2,8,36.7,Fair,Yes
23,Male,Karonga,Northern,Rural,Retail,Not Employed,67206,Primary,22,219874,322,361101,2,No,2,10,26.6,Poor,Yes
52,Female,Zomba,Southern,Rural,Retail,Employed,572403,Secondary,18,259595,570,62614,2,No,2,6,38.4,Poor,Yes
59,Male,Phalombe,Southern,Rural,SME,Self Employed,54866,Primary,28,895525,423,80406,7,No,0,7,36.9,Poor,Yes
19,Male,Nkhotakota,Central,Rural,Retail,Self Employed,702947,Secondary,29,823351,545,672370,5,No,0,8,31.6,Poor,No
22,Male,Likoma,Northern,Rural,Retail,Employed,596366,Secondary,5,54718,305,1652029,4,No,0,6,47.4,Fair,Yes
23,Male,Chikwawa,Southern,Rural,Retail,Not Employed,96196,Primary,11,783147,576,1987600,3,No,2,2,24.6,Fair,No
65,Male,Salima,Central,Rural,SME,Not Employed,32600,Primary,29,25880,562,10778,1,No,1,10,28.7,Fair,Yes
21,Male,Nsanje,Southern,Rural,Retail,Self Employed,208800,Primary,30,40081,366,1122832,5,No,0,8,45.1,Poor,Yes
19,Female,Lilongwe,Central,Rural,Retail,Not Employed,73054,Primary,9,857810,459,523306,7,No,1,3,21.9,Poor,No
21,Female,Dedza,Central,Rural,Retail,Employed,1436363,Tertiary,22,61833,435,862028,2,No,1,8,38.2,Fair,Yes
25,Female,Lilongwe,Central,Rural,Retail,Employed,171786,Primary,5,173993,371,1761493,7,No,0,7,38.6,Poor,Yes
95,Female,Thyolo,Southern,Rural,SME,Not Employed,15810,Secondary,10,520126,543,82504,2,No,0,9,33.9,Fair,No
23,Male,Nkhata Bay,Northern,Rural,Retail,Self Employed,500502,Secondary,3,240380,455,1532040,7,No,1,8,44.6,Poor,Yes
24,Female,Chikwawa,Southern,Rural,SME,Not Employed,92394,Secondary,24,3571926,580,53839,1,No,0,9,30.4,Poor,No
17,Male,Zomba,Southern,Rural,Retail,Employed,125755,Primary,26,170181,364,509006,5,No,1,9,30.9,Poor,Yes
29,Male,Lilongwe,Central,Rural,Retail,Employed,2011543,Tertiary,23,741573,436,1421373,3,No,0,7,49.0,Fair,Yes
21,Male,Mangochi,Southern,Rural,Retail,Employed,62378,Primary,11,710228,380,395001,2,No,1,3,20.9,Poor,Yes
19,Male,Kasungu,Central,Rural,SME,Not Employed,60432,Primary,18,893464,539,1304520,7,No,2,9,42.8,Fair,No
19,Male,Chikwawa,Southern,Rural,Retail,Employed,636581,Secondary,23,688295,451,872294,5,No,2,6,46.9,Fair,Yes
22,Male,Mulanje,Southern,Rural,Retail,Self Employed,213757,Secondary,17,2352138,331,55080,2,No,1,7,34.3,Fair,Yes
24,Female,Chiradzulu,Southern,Rural,Retail,Employed,29359,Primary,1,117696,362,1247101,4,No,2,1,26.1,Poor,No
86,Male,Mwanza,Southern,Rural,Retail,Employed,26905,Primary,19,579235,385,8412,7,No,1,5,38.3,Fair,Yes
21,Male,Nkhata Bay,Northern,Rural,Retail,Employed,1213170,Tertiary,7,820684,349,124175,5,No,2,10,27.0,Good,No
79,Female,Mwanza,Southern,Rural,SME,Not Employed,89055,Primary,1,876489,393,88130,5,No,2,9,32.0,Poor,No
16,Male,Karonga,Northern,Rural,Retail,Self Employed,118029,Primary,6,218580,447,686462,2,No,0,10,21.3,Good,Yes
20,Female,Rumphi,Northern,Rural,Retail,Employed,62279,Primary,21,896323,321,546788,7,No,0,3,26.5,Fair,No
80,Female,Salima,Central,Rural,Retail,Employed,115611,Primary,23,177627,526,63385,1,No,2,10,40.2,Poor,Yes
17,Female,Balaka,Southern,Rural,Retail,Self Employed,602038,Secondary,10,787953,462,1197090,4,No,0,10,22.2,Poor,Yes
25,Male,Ntchisi,Central,Rural,SME,Employed,85481,Primary,30,211722,483,1198605,1,No,2,8,46.1,Poor,Yes
16,Female,Balaka,Southern,Rural,Retail,Not Employed,97804,Secondary,5,981531,424,1376299,4,No,2,2,38.9,Poor,Yes
18,Female,Nkhata Bay,Northern,Rural,Retail,Self Employed,107047,Primary,11,808839,345,2114781,2,No,0,6,48.5,Fair,Yes
25,Male,Chiradzulu,Southern,Rural,SME,Employed,819854,Secondary,2,889705,533,80934,1,No,2,10,14.6,Poor,Yes
29,Female,Thyolo,Southern,Rural,SME,Not Employed,71522,Secondary,17,764172,551,2002200,3,No,1,10,48.1,Poor,No
25,Male,Mulanje,Southern,Rural,Retail,Not Employed,91413,Secondary,4,3367933,337,48382,5,No,2,5,43.5,Poor,No
32,Male,Nsanje,Southern,Rural,Retail,Employed,79966,Primary,19,740619,370,23326,5,No,1,4,40.6,Fair,No
19,Male,Thyolo,Southern,Rural,SME,Not Employed,17517,Secondary,30,2816712,580,24098,6,No,2,8,40.3,Poor,Yes
25,Male,Chikwawa,Southern,Rural,SME,Employed,52945,Primary,30,897497,443,888488,2,No,2,6,23.7,Poor,No
25,Female,Likoma,Northern,Rural,Retail,Employed,551900,Secondary,16,199364,594,1148293,5,No,1,9,45.8,Good,Yes
29,Female,Chiradzulu,Southern,Rural,Retail,Self Employed,167074,Secondary,23,489157,456,671904,6,No,0,7,32.9,Poor,No
